	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co
hoopvol/adj/nrc_handelsblad_20011108_40/61/L11	hoopvol/adj/nrc_handelsblad_20011108_40/61	L11	brief	noun	brief/noun	brieven	False	L	12	0.6012786	59181.0	15.0
hoopvol/adj/nrc_handelsblad_20011108_40/61/L12	hoopvol/adj/nrc_handelsblad_20011108_40/61	L12	de	det	de/det	de	False	L	13	0.020179255	28074105.0	3976.0
hoopvol/adj/nrc_handelsblad_20011108_40/61/L13	hoopvol/adj/nrc_handelsblad_20011108_40/61	L13	van	prep	van/prep	van	False	L	14	-0.15759748	12638933.0	1499.0
hoopvol/adj/nrc_handelsblad_20011108_40/61/L14	hoopvol/adj/nrc_handelsblad_20011108_40/61	L14	herkomst	noun	herkomst/noun	herkomst	False	L	15			
hoopvol/adj/nrc_handelsblad_20011108_40/61/L15	hoopvol/adj/nrc_handelsblad_20011108_40/61	L15	de	det	de/det	de	False	L	16	0.020179255	28074105.0	3976.0
hoopvol/adj/nrc_handelsblad_20011108_40/61/R0	hoopvol/adj/nrc_handelsblad_20011108_40/61	R0	,	punct	,/punct	,	True	R	1			
hoopvol/adj/nrc_handelsblad_20011108_40/61/R1	hoopvol/adj/nrc_handelsblad_20011108_40/61	R1	evenals	comp	evenals/comp	evenals	True	R	2			
hoopvol/adj/nrc_handelsblad_20011108_40/61/R2	hoopvol/adj/nrc_handelsblad_20011108_40/61	R2	de	det	de/det	de	True	R	3	0.020179255	28074105.0	3976.0
hoopvol/adj/nrc_handelsblad_20011108_40/61/R3	hoopvol/adj/nrc_handelsblad_20011108_40/61	R3	rest	noun	rest/noun	rest	True	R	4	0.22134016	63293.0	11.0
hoopvol/adj/nrc_handelsblad_20011108_40/61/R4	hoopvol/adj/nrc_handelsblad_20011108_40/61	R4	van	prep	van/prep	van	True	R	5	-0.15759748	12638933.0	1499.0
hoopvol/adj/nrc_handelsblad_20011108_40/61/R5	hoopvol/adj/nrc_handelsblad_20011108_40/61	R5	Amerika	name	Amerika/name	Amerika	True	R	6			
hoopvol/adj/nrc_handelsblad_20011108_40/61/R6	hoopvol/adj/nrc_handelsblad_20011108_40/61	R6	,	punct	,/punct	,	True	R	7			
hoopvol/adj/nrc_handelsblad_20011108_40/61/R7	hoopvol/adj/nrc_handelsblad_20011108_40/61	R7	dat	comp	dat/comp	dat	True	R	8			
hoopvol/adj/nrc_handelsblad_20011108_40/61/R8	hoopvol/adj/nrc_handelsblad_20011108_40/61	R8	de	det	de/det	de	True	R	9	0.020179255	28074105.0	3976.0
hoopvol/adj/nrc_handelsblad_20011108_40/61/R9	hoopvol/adj/nrc_handelsblad_20011108_40/61	R9	antrax	noun	antrax/noun	antrax	True	R	10	2.8454888	421.0	1.0
