LEMMAPATH	LEMMAREL	_model	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
NA	NA	herinneren.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSall	BOW	nobound	245	all	3_3	1	weight	FOC	245	all	4_4	239	herinneren	NA
NA	NA	herinneren.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSnav	BOW	nobound	245	all	3_3	1	selection	5000	5000	nav	4_4	239	herinneren	NA
NA	NA	herinneren.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSall	BOW	nobound	245	all	3_3	1	selection	5000	5000	all	4_4	239	herinneren	NA
NA	NA	herinneren.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSnav	BOW	nobound	245	all	3_3	1	selection	FOC	97	nav	4_4	239	herinneren	NA
NA	NA	herinneren.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSall	BOW	nobound	245	all	3_3	1	selection	FOC	245	all	4_4	239	herinneren	NA
NA	NA	herinneren.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSnav	BOW	nobound	432	all	3_3	1	no	5000	5000	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSall	BOW	nobound	432	all	3_3	1	no	5000	5000	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSnav	BOW	nobound	432	all	3_3	1	no	FOC	202	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSall	BOW	nobound	432	all	3_3	1	no	FOC	432	all	4_4	240	herinneren	NA
NA	group1	herinneren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	dependency	bound	147	NA	NA	1	weight	5000	5000	nav	4_4	229	herinneren	NA
NA	group1	herinneren.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	dependency	bound	147	NA	NA	1	weight	5000	5000	all	4_4	229	herinneren	NA
NA	group1	herinneren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	dependency	bound	147	NA	NA	1	weight	FOC	57	nav	4_4	229	herinneren	NA
NA	group1	herinneren.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	dependency	bound	147	NA	NA	1	weight	FOC	147	all	4_4	229	herinneren	NA
NA	group1	herinneren.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	dependency	bound	147	NA	NA	1	selection	5000	5000	nav	4_4	229	herinneren	NA
NA	group1	herinneren.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	dependency	bound	147	NA	NA	1	selection	5000	5000	all	4_4	229	herinneren	NA
NA	group1	herinneren.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	dependency	bound	147	NA	NA	1	selection	FOC	57	nav	4_4	229	herinneren	NA
